tradeN;symbol;type;shares;entrySignal;entryTime;entryPrice;exitSignal;exitTime;exitPrice;profit;runUp;drawDown
1;MTA.KME;Long;4291;breakout_52;20/04/2001 00:00:00;2,33;volatility exit;04/05/2001 00:00:00;2,27;-257,46;300,37;-257,46
2;MTA.BO;Long;3412;breakout_52;17/10/2003 00:00:00;2,93;volatility exit;24/10/2003 00:00:00;2,91;-68,24;477,68;-68,24
3;MTA.ZUC;Long;106;breakout_52;28/01/2005 00:00:00;93,65;volatility exit;04/02/2005 00:00:00;95,66;213,059999999999;747,3;0
4;MTA.CIA;Long;65000;breakout_52;25/02/2005 00:00:00;0,15;volatility exit;11/03/2005 00:00:00;0,15;0;650;0
5;MTA.MON;Long;7692;breakout_52;08/04/2005 00:00:00;1,3;volatility exit;22/04/2005 00:00:00;1,21;-692,280000000001;461,52;-692,28
6;MTA.B;Long;14492;breakout_n;13/05/2005 00:00:00;0,69;volatility exit;20/05/2005 00:00:00;0,8;1594,12;3767,92;0
7;MTA.CIA;Long;52631;breakout_52;13/05/2005 00:00:00;0,19;volatility exit;20/05/2005 00:00:00;0,18;-526,310000000001;1052,62;-526,31
8;MTA.KME;Long;9345;breakout_n;13/05/2005 00:00:00;1,07;volatility exit;20/05/2005 00:00:00;1,09;186,9;747,6;0
9;MTA.CSP;Long;9090;breakout_52;03/06/2005 00:00:00;1,1;volatility exit;10/06/2005 00:00:00;1,08;-181,8;363,6;-181,8
10;MTA.B;Long;10526;breakout_n;10/06/2005 00:00:00;0,95;volatility exit;17/06/2005 00:00:00;0,9;-526,300000000001;0;-526,3
11;MTA.KME;Long;8403;breakout_52;03/06/2005 00:00:00;1,19;volatility exit;24/06/2005 00:00:00;1,22;252,09;840,3;-84,03
12;MTA.IGV;Long;4739;breakout_52;24/06/2005 00:00:00;2,11;lowest_low exit;08/07/2005 00:00:00;2,03;-379,119999999998;94,78;-379,12
13;MTA.FDA;Long;2288;breakout_52;15/07/2005 00:00:00;4,37;volatility exit;22/07/2005 00:00:00;5,08;1624,48;3271,84;0
14;MTA.MON;Long;6756;breakout_n;22/07/2005 00:00:00;1,48;volatility exit;29/07/2005 00:00:00;1,4;-540,479999999999;0;-540,48
