tradeN;symbol;type;shares;entrySignal;entryTime;entryPrice;exitSignal;exitTime;exitPrice;profit;runUp;drawDown
1;MTA.CALT;Long;1715;breakout_52;20/05/2005 00:00:00;5,83;volatility exit;27/05/2005 00:00:00;5,72;-188,650000000001;343;-188,65
2;MTA.ARN;Long;2164;breakout_52;15/07/2005 00:00:00;4,62;volatility exit;12/08/2005 00:00:00;4,75;281,32;843,96;-129,84
3;MTA.DLG;Long;4237;breakout_52;26/08/2005 00:00:00;2,36;lowest_low exit;02/09/2005 00:00:00;2,33;-127,109999999999;381,33;-127,11
4;MTA.JUVE;Long;30303;breakout_52;26/08/2005 00:00:00;0,33;lowest_low exit;02/09/2005 00:00:00;0,32;-303,03;0;-303,03
5;MTA.REY;Long;2398;breakout_52;26/08/2005 00:00:00;4,17;volatility exit;02/09/2005 00:00:00;3,95;-527,559999999999;23,98;-527,56
6;MTA.CMB;Long;2747;breakout_52;12/08/2005 00:00:00;3,64;volatility exit;09/09/2005 00:00:00;3,88;659,279999999999;1263,62;-192,29
7;MTA.BZU;Long;792;breakout_52;26/08/2005 00:00:00;12,62;volatility exit;16/09/2005 00:00:00;12,44;-142,560000000001;396;-467,28
8;MTA.REY;Long;2173;breakout_52;16/09/2005 00:00:00;4,6;volatility exit;23/09/2005 00:00:00;4,42;-391,140000000001;130,38;-391,14
9;MTA.IF;Long;1455;breakout_52;26/08/2005 00:00:00;6,87;volatility exit;30/09/2005 00:00:00;8,29;2066,1;3011,85;0
10;MTA.BRE;Long;8130;breakout_52;26/08/2005 00:00:00;1,23;volatility exit;07/10/2005 00:00:00;1,24;81,3;650,4;-162,6
11;MTA.DAN;Long;1869;breakout_52;26/08/2005 00:00:00;5,35;volatility exit;07/10/2005 00:00:00;6,24;1663,41;2336,25;-280,35
12;MTA.ELN;Long;5000;breakout_n;30/09/2005 00:00:00;2;volatility exit;07/10/2005 00:00:00;2,04;200;1250;0
13;MTA.MN;Long;1206;breakout_52;26/08/2005 00:00:00;8,29;lowest_low exit;07/10/2005 00:00:00;8,04;-301,5;349,74;-301,5
14;MTA.CALT;Long;1550;breakout_n;02/09/2005 00:00:00;6,45;volatility exit;14/10/2005 00:00:00;6,51;92,999999999999;682;-201,5
15;MTA.CMB;Long;2439;breakout_n;30/09/2005 00:00:00;4,1;volatility exit;14/10/2005 00:00:00;4,56;1121,94;1926,81;0
16;MTA.CE;Long;1146;breakout_52;26/08/2005 00:00:00;8,72;volatility exit;14/10/2005 00:00:00;9,01;332,339999999999;882,42;-240,66
17;MTA.CMB;Long;2020;breakout_52;28/10/2005 00:00:00;4,95;volatility exit;04/11/2005 00:00:00;4,7;-505;0;-727,2
